run_id,time,node_id,x,y,neighbor_count,avg_rssi,tx_packets,rx_packets,lost_packets,delay_sum
14,10.0,27.0,332.693,472.134,1.0,-40.629,0,0,0,0.0
14,10.0,28.0,156.425,207.879,6.0,-39.604,0,0,0,0.0
14,10.0,29.0,243.604,273.233,7.0,-36.347,0,0,0,0.0
14,11.0,0.0,228.339,120.015,8.0,-36.67,0,0,0,0.0
14,11.0,1.0,365.036,341.929,3.0,-37.156,0,0,0,0.0
14,11.0,2.0,104.82,201.96,3.0,-40.701,0,0,0,0.0
14,11.0,3.0,441.715,222.985,2.0,-43.807,0,0,0,0.0
14,11.0,4.0,209.218,299.862,7.0,-38.638,0,0,0,0.0
14,11.0,5.0,39.891,298.125,3.0,-34.534,0,0,0,0.0
14,11.0,6.0,215.948,257.214,10.0,-36.838,0,0,0,0.0
14,11.0,7.0,256.681,20.189,2.0,-35.939,0,0,0,0.0
14,11.0,8.0,216.452,232.809,10.0,-35.309,0,0,0,0.0
14,11.0,9.0,269.12,204.468,10.0,-37.68,0,0,0,0.0
14,11.0,10.0,328.344,318.309,3.0,-38.923,0,0,0,0.0
14,11.0,11.0,123.602,268.467,8.0,-41.559,0,0,0,0.0
14,11.0,12.0,403.156,446.746,2.0,-37.618,0,0,0,0.0
14,11.0,13.0,220.584,37.99,4.0,-38.543,0,0,0,0.0
14,11.0,14.0,340.348,101.43,2.0,-43.843,0,0,0,0.0
14,11.0,15.0,30.804,267.344,4.0,-38.374,0,0,0,0.0
14,11.0,16.0,246.112,157.836,9.0,-35.25,0,0,0,0.0
14,11.0,17.0,266.241,232.413,9.0,-36.841,0,0,0,0.0
14,11.0,18.0,456.072,319.486,3.0,-40.35,0,0,0,0.0
14,11.0,19.0,214.144,348.825,3.0,-40.164,0,0,0,0.0
14,11.0,20.0,247.43,133.75,8.0,-35.652,0,0,0,0.0
14,11.0,21.0,449.358,436.774,1.0,-34.236,0,0,0,0.0
14,11.0,22.0,408.974,316.943,4.0,-38.613,0,0,0,0.0
14,11.0,23.0,241.697,90.701,7.0,-37.459,0,0,0,0.0
14,11.0,24.0,219.053,215.417,11.0,-36.087,0,0,0,0.0
14,11.0,25.0,228.833,167.516,10.0,-36.053,0,0,0,0.0
14,11.0,26.0,79.197,303.551,3.0,-35.326,0,0,0,0.0
14,11.0,27.0,327.601,471.249,1.0,-40.999,0,0,0,0.0
14,11.0,28.0,173.363,203.106,10.0,-40.107,0,0,0,0.0
14,11.0,29.0,256.245,267.367,8.0,-37.173,0,0,0,0.0
14,12.0,0.0,243.878,131.832,9.0,-35.837,0,0,0,0.0
14,12.0,1.0,353.835,334.26,2.0,-36.159,0,0,0,0.0
14,12.0,2.0,113.056,206.062,4.0,-40.453,0,0,0,0.0
14,12.0,3.0,438.155,207.451,1.0,-43.459,0,0,0,0.0
14,12.0,4.0,202.93,294.363,8.0,-38.47,0,0,0,0.0
14,12.0,5.0,34.807,301.138,3.0,-35.495,0,0,0,0.0
14,12.0,6.0,199.736,261.587,10.0,-37.578,0,0,0,0.0
14,12.0,7.0,248.065,19.432,2.0,-32.601,0,0,0,0.0
14,12.0,8.0,228.123,233.397,10.0,-34.826,0,0,0,0.0
14,12.0,9.0,259.117,201.345,10.0,-36.411,0,0,0,0.0
14,12.0,10.0,312.124,318.921,4.0,-39.625,0,0,0,0.0
14,12.0,11.0,122.385,255.076,8.0,-40.872,0,0,0,0.0
14,12.0,12.0,399.256,442.098,2.0,-37.72,0,0,0,0.0
14,12.0,13.0,234.883,41.587,3.0,-34.51,0,0,0,0.0
14,12.0,14.0,337.903,108.875,3.0,-43.3,0,0,0,0.0
14,12.0,15.0,24.715,275.258,3.0,-36.336,0,0,0,0.0
14,12.0,16.0,237.61,168.599,10.0,-34.514,0,0,0,0.0
14,12.0,17.0,259.68,247.312,11.0,-37.254,0,0,0,0.0
14,12.0,18.0,465.495,320.98,1.0,-36.836,0,0,0,0.0
14,12.0,19.0,221.354,334.312,5.0,-40.429,0,0,0,0.0
14,12.0,20.0,244.987,141.499,9.0,-35.004,0,0,0,0.0
14,12.0,21.0,444.774,431.978,1.0,-34.06,0,0,0,0.0
14,12.0,22.0,411.855,299.706,3.0,-39.727,0,0,0,0.0
14,12.0,23.0,251.385,86.768,7.0,-38.528,0,0,0,0.0
14,12.0,24.0,210.539,220.37,13.0,-37.083,0,0,0,0.0
14,12.0,25.0,225.942,170.379,10.0,-34.742,0,0,0,0.0
14,12.0,26.0,84.831,289.61,4.0,-37.659,0,0,0,0.0
14,12.0,27.0,322.509,470.364,1.0,-41.38,0,0,0,0.0
14,12.0,28.0,190.301,198.334,12.0,-38.54,0,0,0,0.0
14,12.0,29.0,268.886,261.501,9.0,-37.52,0,0,0,0.0
14,13.0,0.0,259.416,143.65,10.0,-37.654,0,0,0,0.0
14,13.0,1.0,342.633,326.591,3.0,-39.73,0,0,0,0.0
14,13.0,2.0,121.291,210.165,5.0,-38.823,0,0,0,0.0
14,13.0,3.0,434.596,191.918,1.0,-43.013,0,0,0,0.0
14,13.0,4.0,196.642,288.865,8.0,-38.017,0,0,0,0.0
14,13.0,5.0,29.723,304.151,2.0,-33.295,0,0,0,0.0
14,13.0,6.0,183.523,265.96,13.0,-39.656,0,0,0,0.0
14,13.0,7.0,239.449,18.676,2.0,-33.222,0,0,0,0.0
14,13.0,8.0,239.793,233.985,12.0,-36.638,0,0,0,0.0
